19:47:24.524 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Leny', breed='angolan', cost=81, character='pretty', litteringDegree='0'}
19:47:27.530 [main] DEBUG netcracker.ec.service.RealLifeEmulator - sell: AnimalImpl{name='Yeah Boy', breed='guppie', cost=78, character='aggressive', litteringDegree='8'}
19:47:28.531 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Boomer', breed='desert', cost=19, character='affectionate', litteringDegree='0'}
19:47:30.531 [main] DEBUG netcracker.ec.service.RealLifeEmulator - sell: AnimalImpl{name='Chewy', breed='neon tetra', cost=31, character='clever', litteringDegree='34'}
19:47:31.531 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='April', breed='florida white', cost=97, character='neat', litteringDegree='0'}
19:47:33.531 [main] DEBUG netcracker.ec.service.RealLifeEmulator - run away: AnimalImpl{name='Yeah Boy', breed='eastern grey', cost=60, character='aggressive', litteringDegree='48'}
19:49:17.347 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='John', breed='desert', cost=18, character='stupid', litteringDegree='0'}
19:49:20.352 [main] DEBUG netcracker.ec.service.RealLifeEmulator - run away: AnimalImpl{name='Yeah Boy', breed='guppie', cost=78, character='aggressive', litteringDegree='74'}
19:49:21.352 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Blondie', breed='southern African', cost=71, character='affectionate', litteringDegree='0'}
00:26:50.707 [main] DEBUG netcracker.ec.service.RealLifeEmulator - sell: AnimalImpl{name='Yeah Boy', breed='eastern grey', cost=60, character='aggressive', litteringDegree='48'}
01:30:06.563 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Shaggy', breed='desert', cost=4, character='stupid', litteringDegree='0'}
01:44:27.955 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Captain', breed='neon tetra', cost=48, character='pretty', litteringDegree='0'}
01:44:29.959 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Leny', breed='holland lop', cost=41, character='stupid', litteringDegree='0'}
01:44:32.960 [main] DEBUG netcracker.ec.service.RealLifeEmulator - run away: AnimalImpl{name='Yeah Boy', breed='guppie', cost=78, character='aggressive', litteringDegree='28'}
01:44:36.960 [main] DEBUG netcracker.ec.service.RealLifeEmulator - run away: AnimalImpl{name='Captain', breed='neon tetra', cost=48, character='pretty', litteringDegree='55'}
01:44:37.960 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Blondie', breed='cherry barb', cost=98, character='aggressive', litteringDegree='0'}
01:45:27.271 [main] DEBUG netcracker.ec.service.RealLifeEmulator - run away: AnimalImpl{name='Chewy', breed='neon tetra', cost=31, character='clever', litteringDegree='0'}
01:45:28.276 [main] DEBUG netcracker.ec.service.RealLifeEmulator - sell: AnimalImpl{name='Yeah Boy', breed='eastern grey', cost=60, character='aggressive', litteringDegree='61'}
01:45:31.276 [main] DEBUG netcracker.ec.service.RealLifeEmulator - sell: AnimalImpl{name='Yeah Boy', breed='guppie', cost=78, character='aggressive', litteringDegree='72'}
01:45:33.276 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Yeah Boy', breed='florida white', cost=20, character='clever', litteringDegree='0'}
01:45:34.276 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Boomer', breed='neon tetra', cost=17, character='pretty', litteringDegree='0'}
01:45:37.276 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='April', breed='american fuzzy lop', cost=84, character='clever', litteringDegree='0'}
01:45:39.276 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='Junior', breed='southern African', cost=99, character='aggressive', litteringDegree='0'}
01:45:40.276 [main] DEBUG netcracker.ec.service.RealLifeEmulator - buy: AnimalImpl{name='ITSY-BITSY', breed='southern African', cost=67, character='brave', litteringDegree='0'}
